file_info,news_id,short_text,total_count,dod_web_path,stock_name,title,file_type,date_time,long_text,stock_code,file_link,auditor
2MB,9231743,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]<br/>",2500,,CHANGMAO BIO,ANNUAL REPORT 2019,PDF,09/04/2020 17:12,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",00954,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0409/2020040900621.pdf,"('PricewaterhouseCoopers',)"
9MB,9231713,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]<br/>",2500,,LIU CHONG HING,ANNUAL REPORT 2019,PDF,09/04/2020 17:08,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",00194,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0409/2020040900591.pdf,"('Deloitte Touche Tohmatsu',)"
2MB,9231685,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]<br/>",2500,,ASIASEC PPT,ANNUAL REPORT 2019,PDF,09/04/2020 17:02,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",00271,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0409/2020040900563.pdf,"('Deloitte Touche Tohmatsu',)"
3MB,9231625,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,HI-LEVEL TECH,ANNUAL REPORT 2019,PDF,09/04/2020 16:52,Financial Statements/ESG Information - [Annual Report],08113,https://www1.hkexnews.hk/listedco/listconews/gem/2020/0409/2020040900503.pdf,"('Deloitte Touche Tohmatsu',)"
3MB,9231625,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,HI-LEVEL TECH,ANNUAL REPORT 2019,PDF,09/04/2020 16:52,Financial Statements/ESG Information - [Annual Report],08113,https://www1.hkexnews.hk/listedco/listconews/gem/2020/0409/2020040900503.pdf,NaN
3MB,9231595,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,JIANGXI BANK,Annual Report 2019,PDF,09/04/2020 16:47,Financial Statements/ESG Information - [Annual Report],01916,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0409/2020040900473.pdf,"('KPMG',)"
3MB,9231566,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]<br/>",2500,,DREAM INT'L,ANNUAL REPORT 2019,PDF,09/04/2020 16:44,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",01126,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0409/2020040900444.pdf,"('KPMG',)"
2MB,9231524,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]<br/>",2500,,CISI FIN,2019 ANNUAL REPORT,PDF,09/04/2020 16:39,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",06058,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0409/2020040900402.pdf,"('KPMG',)"
4MB,9231518,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]<br/>",2500,,GOLDLION HOLD,ANNUAL REPORT 2019,PDF,09/04/2020 16:38,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",00533,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0409/2020040900396.pdf,"('PricewaterhouseCoopers',)"
3MB,9231506,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,KINGDEE INT'L,ANNUAL REPORT 2019,PDF,09/04/2020 16:36,Financial Statements/ESG Information - [Annual Report],00268,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0409/2020040900384.pdf,"('PricewaterhouseCoopers',)"
