result,url
"[(17,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072701507.pdf
"[(25,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072701317.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700962.pdf
"[(46,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700957.pdf
"[(30,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700942.pdf
"[(59,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700802.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700775.pdf
"[(29,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700742.pdf
"[(26,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700728.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700682.pdf
"[(38,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700670.pdf
"[(29,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700604.pdf
"[(119,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700598.pdf
"[(37,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700588.pdf
"[(111,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700580.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700570.pdf
"[(50,), (175,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700559.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700551.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700481.pdf
"[(35,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700477.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700471.pdf
"[(18,), (79,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700417.pdf
"[(38,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700405.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700403.pdf
"[(43,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700339.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700163.pdf
"[(21,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0724/2020072401446.pdf
"[(29,), (93,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0724/2020072401122.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0724/2020072400992.pdf
"[(31,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0724/2020072400950.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0724/2020072400775.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0724/2020072400731.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0724/2020072400727.pdf
"[(14,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0724/2020072400677.pdf
"[(21,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0724/2020072400603.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0724/2020072400597.pdf
"[(18,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0724/2020072400583.pdf
"[(38,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0724/2020072400579.pdf
"[(41,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0724/2020072400558.pdf
"[(21,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0724/2020072400550.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0724/2020072400490.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0724/2020072400454.pdf
"[(30,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0724/2020072400215.pdf
"[(73,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072301280.pdf
"[(47,), (148,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072301101.pdf
