,report_page_range,f.audit_fee_page,f.matched_pattern,url
358,"[(34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0706/2020070601946.pdf
362,"[(32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0706/2020070600895.pdf
365,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0703/2020070301658.pdf
383,"[(15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27), (43,)]",[],[],https://www1.hkexnews.hk/listedco/listconews/gem/2020/0630/2020063002684.pdf
384,"[(56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0630/2020063002676.pdf
396,"[(29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46)]",[],[],https://www1.hkexnews.hk/listedco/listconews/gem/2020/0630/2020063001256.pdf
406,"[(32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47)]",[],[],https://www1.hkexnews.hk/listedco/listconews/gem/2020/0630/2020063000683.pdf
414,"[(35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0630/2020063000185.pdf
419,"[(19, 20, 21, 22, 23, 24, 25, 26, 27, 28)]",[],[],https://www1.hkexnews.hk/listedco/listconews/gem/2020/0629/2020062902713.pdf
423,"[(74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0629/2020062901915.pdf
426,"[(11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)]",[],[],https://www1.hkexnews.hk/listedco/listconews/gem/2020/0629/2020062901859.pdf
431,"[(22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36)]",[],[],https://www1.hkexnews.hk/listedco/listconews/gem/2020/0629/2020062901781.pdf
439,"[(27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45)]",[],[],https://www1.hkexnews.hk/listedco/listconews/gem/2020/0629/2020062901393.pdf
442,"[(53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80)]",[],[],https://www1.hkexnews.hk/listedco/listconews/gem/2020/0629/2020062901250.pdf
448,"[(14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27)]",[],[],https://www1.hkexnews.hk/listedco/listconews/gem/2020/0629/2020062900980.pdf
451,"[(29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45)]",[],[],https://www1.hkexnews.hk/listedco/listconews/gem/2020/0629/2020062900908.pdf
453,"[(26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43)]",[],[],https://www1.hkexnews.hk/listedco/listconews/gem/2020/0629/2020062900822.pdf
468,"[(17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28)]",[],[],https://www1.hkexnews.hk/listedco/listconews/gem/2020/0629/2020062900549.pdf
475,"[(42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0629/2020062900483.pdf
484,"[(32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42)]",[],[],https://www1.hkexnews.hk/listedco/listconews/gem/2020/0626/2020062600893.pdf
487,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0626/2020062600698.pdf
497,"[(12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0624/2020062402188.pdf
502,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0624/2020062401309.pdf
503,"[(14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25)]",[],[],https://www1.hkexnews.hk/listedco/listconews/gem/2020/0624/2020062401112.pdf
506,"[(13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29)]",[],[],https://www1.hkexnews.hk/listedco/listconews/gem/2020/0624/2020062400823.pdf
514,"[(28, 29, 30, 31, 32, 33, 34, 35, 36)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0622/2020062200351.pdf
515,"[(22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0622/2020062200343.pdf
516,"[(42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56)]",[],[],https://www1.hkexnews.hk/listedco/listconews/gem/2020/0621/2020062100109.pdf
517,"[(98,), (100,), (102,), (104,), (106,), (108,), (110,), (112,), (114,), (116,), (118,), (120,), (122,), (124,)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0619/2020061900529.pdf
522,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0617/2020061700606.pdf
525,"[(21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0616/2020061601114.pdf
